ID;HOME UNIVERSITY;COUNTRY;UNIVERSITY OF OUTGOING MOBILITY;ERASMUS ID CODE;CONTACT;FIELD OF STUDY;BACHELOR PROGRAM;MASTER PROGRAM;PhD;NUMBER OF STUDENTS;MOBILITY DURATION;WINTER DEADLINE;SUMMER DEADLINE
1;FESB;AUSTRIA;Vienna University of Technology - TU Vienna;A WIEN02;"zemann@ai.tuwien.ac.at; ivona.brandic@tuwien.ac.at";061 Information and Communication Technology;yes;yes;yes;2;10;31 May;15 December
2;FESB;AUSTRIA;Vienna University of Technology - TU Vienna;A WIEN03;"zemann@ai.tuwien.ac.at; ivona.brandic@tuwien.ac.at";0533 Mathematics;yes;yes;yes;2;10;32 May;16 December
3;FESB;AUSTRIA;FH JOANnoUM- University of Applied Sciences;A GRAZ09;"regina.kaefer-goiginger@fh-joannoum.at; nina.blasonig@fh-joannoum.at";071 Engineering and engineering trades;no;yes;no;2x5;10;15 June;15 November
4;FESB;BELGIUM;Odisee vzw;B BRUSSEL48;"international@odisee.be; bart.hempen@odisee.be";"0714 Electronics and automation(Electromechanics); Design and production technology";yes;no;no;3;15(5x3);(online) registration: before 15 June;(online) registration before 15 November
5;FESB;BELGIUM;KU LEUVEN- Faculty of Engineering Technology Faculty of Engineering Technology;B LEUVEN01;"elke.timmermans@int.kuleuven.be; Kris.willems@iiw.kuleuven.be; fet@kuleuven.be ";"061 Information and Communication Technology; 0713 Electricity and energy; 0714 Electronics and automation; 0715 Mechanics and metal trades; 061 Inf; 061 Information and Communication Technology; 0713 Electricity and energy; 0714 Electronics and automation; 0715 Mechanics and metal trades";no;yes;no;3;15( 5x3);check on the homepage;check on the homepage
6;FESB;BELGIUM;"Haute Ecole ""Robert Schuman""";B ARLON09;international@hers.be;071 Engineering and engineering trades;yes;yes;no;2;10;15 May;01 November
7;FESB;BULGARIA;frederick University;BG SOFIA30;tominaglb@cu.bas.bg;"061 ICT; 0714 Electronics and automation";no;no;yes;2;10 (2x5);1 June;01 November
8;FESB;BULGARIA;Sofia University;BG SOFIA06;"intern@admin.uni-sofia.bg; stoyanova@fmi.uni-sofia.bg ";"461 Mathematics; 462 Informatics; 523 Electronics and Automation";yes;yes;no;2;10;30 June;30 November
9;FESB;CYPRUS;Frederick University;CY NICOSIA23;"ad.mv@frederick.ac.cy; eng.mm@frederick.ac.cy; eng.pa@frederick.ac.cy";"0713 Electrical Engineering; 0710 Mechanical Engineering";yes;yes;no;2;1(2x5);30 June;30 November
10;FESB;CZECH REPUBLIC;Czech University of Life Sciences Prague;CZ PRAHA02;"vilimovska@rektorat.czu.cz; huckoj@pef.czu.cz";061 Information and Communication Technologies;yes;yes;yes;2;10(2x5);15 June;15 November
11;FESB;CZECH REPUBLIC;Brno University of Technology (BUT);CZBRNO01;gurnik@vutbr.cz;06.1 Mechanical Engineering;yes;yes;yes;2;10(2x5);31 May;15 November
12;FESB;CZECH REPUBLIC;"Brno University of Technology (BUT); Faculty of Mechanical Engineering (FME)";CZBRNO01;gurnik@vutbr.cz;071 Engineering and engineering trades;yes;yes;yes;2;10;31 May;15 November
13;FESB;CZECH REPUBLIC;Czech Technical University in Prague;CZ PRAHA10;"yesna.mrkvickova@cvut.cz; vicekota@fel.cvut.cz ";"0713 Electricity and energy; 061 Information and communication; 0714 Technologies and Electronics and automation";yes;yes;yes;2;10 (2x5);30 April - students from EU;30 November - students from EU
14;FESB;ESTONIA;Tallinn University of Technology;EE TALLIN04;"Riina Potter, Head of Mobility Centre, Erasmus+ Institutional Coordinator, Office of Academic Affairs, Mobility Centre, University of Technology, Estonia; riina.potter@taltech.ee ";0715 Mechanical Engineering;yes;yes;no;2;10;15 May;15 November
15;FESB;FRANCE;University Clermont Auvergno, Universite Blaise Pascal Clermont II;F CLERMON02 ;check on the homepage; 071 Electrical Engineering and Mechanical Engineering;no;yes;no;(4) 2 for every subject area;20(4x5);15 May;15 November
16;FESB;FRANCE;Clermont Auvergno Institut National Polytechnique (Clermont Auvergno INP);F AUBIERE04;check on the homepage;"06 Information and Communication Technologies (ICTs); 071 Electrical Engineering and Mechanical Engineering";no;yes;no;2;10 (2 x 5);15 May;15 November
17;FESB;FRANCE;ESME Sudria, School of Engineering;F IVRY-SE01;"melissa.hamitouche@esme.fr; international@esme.fr";"061 Computing and ICT; 071 Engineering and engineering trades";yes;yes;no;3;15 (3x5);3 May;30 October
18;FESB;FRANCE;Universite de Strasbourg;F STRASBO48;dri-erasmusagreement@unistra.fr;071 Engineering and engineering trades;yes;yes;yes;4;24;End of May;End of October
19;FESB;FRANCE;Association Leonard de Vinci;F PARIS270;check on the homepage;071 Engineering and Engineering trades;yes;yes;no;"1 cycle 2 students; 2 cycle 2 students";10 ( 2x5 months);1 June;01 November
20;FESB;FRANCE;Ecole Nationale Superieure d ?Ingenieurs de Caen;F CAEN05;relations.internationales@ensicaen.fr;"061 Information and Communication Technologies; 071 Engineering and engineering trades; 053 Physical sciences";no;yes;no;"1 for 061; 1 for 071, 1 for 053";6;check on the homepage;check on the homepage
21;FESB;GREECE;University of Piraeus;G PIREAS01;"rector@unipi.gr; publ@unipi.gr ";"061 ICT; 0714 Electronics and automation";yes;yes;yes;4;24(4x6);15 June;15 December
22;FESB;GREECE;Aristotle University of Thessaloniki;G THESSAL01;check on the homepage;0713 Electricity and energy;yes;yes;yes;2;6 (2x3);30 June;30 November
23;FESB;GREECE;Eastern Macedonia & Thrace Institute of Technology;G KAVALA01;"pr@teiemt.gr; kiourtis@emt.ihu.gr";"061 Information and Communication Technology;071 Mechanics and metal trades";yes;yes;no;2;10;15 May;15 November
24;FESB;ITALY;Politecnico di Bari;IBARI05;rosilyes.sammarco@poliba.it;"522 Electricity and energy; 523 Electronics and automation";yes;yes;yes;2;20(2x10);June;November
25;FESB;ITALY;Politecnico di Milano;I MILANO02;erasmus@polimi.it;523 Electronics and automation;yes;yes;yes;2;12(2x6);mid June;mid December
26;FESB;ITALY;Universita degli Studi di Salerno;I SALERNO01;erasmus@unisa.it;521 Mechanics and metal work;yes;yes;yes;2;6; 15 April-15 June ;15 April-15 November
27;FESB;ITALY;Universita' degli Studi di l'Aquila;I L-AQUIL 01;"uri@strutture.univaq.it; michela.pitono@guest.univaq; itilaria.capri@guest.univaq.it; uri@strutture.univaq.it";481 Computer Science ;yes;yes;no;4;48;30 June;31 October
28;FESB;ITALY;University of Catania;I CATANIA01;"andrea.rapisaryes@ct.inft.it; uri@unict.it; giuseppe.tina@dieei.unict.it; ";"0713 Electricity and energy; 0715 Mechanics and Metal trades";no;yes;yes;2;12(2x6);May;November 
29;FESB;ITALY;University of Genova;I GENOVA01;coopint@unige.it;0716 Motor vechicles, ships and aircraft (Naval Architecture);yes;yes;no;2;10;30 September;30 November
30;FESB;ITALY;Sapienza University of Rome - Faculty of Information Engineering Informatics and Statistics;I ROMA01;erasmus-i3s@uniroma1.it;"071 Engineering and engineering trades; 0714 Biomedical engineering; 061 Information and Communication Technologies";yes;yes;yes;2;12;15 May;15 October
31;FESB;ITALY;Universita degli Studi di Napoli Federico II;I NAPOLI01;"international@unina.it; erasmus.agreements@unina.it; fabrizio.asciono@unina.it";071 Engineering and Engineering Trades;yes;yes;yes;4;20 (4x5);15 June;30 November
32;FESB;LITHUANIA;"Kaunas University of Technology; Faculty of Electrical and Electronics Engineering";LT KAUNAS02;"gintare.vilbikieno@ktu.lt; virginija.savalenkovieno@ktu.lt";"0713 Electricity and energy; 0714 Electronics and automation";yes;yes;yes;"2x5(1st and 2nd level); 1x5(3rd level)";15;1 June;01 November
33;FESB;MACEDONIA;SS. Cyril and Methodius University in Skopje;MK SKOPJE01;mcenovska@ukim.edu.mk;071, 072 Engineering manufacturing and construction (Mech., Eng.);yes;yes;yes;2;12(2x6);15 May;15 November
34;FESB;MACEDONIA;"SS. Cyril and Methodius University in Skopje; Faculty of Electrical Engineering and Information Technologies";MK SKOPJE01;mcenovska@ukim.edu.mk;"071 Electrical Engineering; 0713 Electricity and energy; 0714 Electronics and automation; 0611 Computer Science; 071 Telecommunications";yes;yes;yes;3;18 (3x6);15 May;15 November
35;FESB;MACEDONIA;Goce Delcev University;MK STIP01;sanja.stefanova@ugd.edu.mk;071 Engineering and engineering trades;yes;yes;yes;2;12 (2x6);30 June;31 December
36;FESB;MACEDONIA;"""St. Kliment Ohridski"" University Bitola";MK BITOLA01;"violeta.manovska@uklo.edu.mk; kaliopa.stilinovic@uklo.edu.mk";0610 Information and Communication Technologies;yes;yes;no;2;10 (2x5);1 June;30 November
37;FESB;NETHERLAND;Avans University of Applied Sciences;NL BREyes01;internationaloffice@avans.nl;"071 Enginoerng and Engineering Trades; 061 Information and Communication Technologies";yes;no;no;4x5 montsh each (for both subject areas);20;15 May;15 November
38;FESB;NORWAY;University of Agder;N KRISTIA01;terje.thorsyeslen@uia.no;071 Engineering and engineering trades;no;yes;yes;"2nd - 4; 3rd 2";"2nd-20; 3rd-10";1 May;15 October
39;FESB;GERMANY;Technische Universitat Clausthal;D CLAUSTH01;Astrid.Abel@tu-clausthal.de;715 Mechanical Engineering;yes;yes;no;2;24(2x12);15 April;15 October
40;FESB;GERMANY;Cologno University of Applied Sciences;D KOLN04;"janina.knoell@fh-koeln.de;erasmus-agreements@th-koeln.de";061 Information and Communication Technology;yes;yes;no;1;10;15 May;15 November
41;FESB;GERMANY;"Technische Universitat Chemnitz; Faculty of Mathematics";D CHEMNIT01;Oliver Sachs, Erasmus + Institutional Coordinator, Chemnitz University of Technology, Tel: +49 371 531-37972, oliver.sachs@iuz.tu-chemnitz.de ;054 Mathematics and Statistics;yes;yes;no;2;12(2x6);15 July;15 January
42;FESB;GERMANY;Hochschule Bremen-University of Applied Sciences;D BREMEN04;"erasmus@hs-bremen.de; Ilka.Knippel@hs-bremen.de";071 Engineering and engineering trades;yes;yes;yes;2;10 (2x5);"1 June; also deadline for posted letters";"15 Januray; also deadlino for posted letters"
43;FESB;GERMANY;Coburg University;D COBURG01;"annotte.stegemann@hs-coburg.de; international@hs-coburg.de";"0713 Electricity and energy; 0715 Mechanics and Metal trades";yes;yes;no;2;10;15 June;15 November
44;FESB;GERMANY;Ruhr-Universitat Bochum (RUB);D BOCHUM01;"Jonna.Haensel-noumann@uv.ruhr-uni-bochum.de; Veronika.Klasik@uv.ruhr-uni-bochum.de";0715 Mechanics and Metal trades;yes;yes;no;2;10;15 June;15 December
45;FESB;GERMANY;Ruhr-Universitat Bochum (RUB);D BOCHUM01;"Jonna.Haensel-noumann@uv.ruhr-uni-bochum.de; Veronika.Klasik@uv.ruhr-uni-bochum.de";061 ICTs;yes;yes;no;2;12;15 July;15 January
46;FESB;GERMANY;Hochschule Bonn-Rhein-Sieg, University of Applied Sciences, Department of Computer Science;D ST-AUGU02;christina.holthaus@h-brs.de;"061 ICTs; 0712 Environmental protection technology; 0713 Electricity and energy; 0714 Electronics and automation";yes;yes;yes;6;12;30 May;30 October
47;FESB;POLAND;AGH University of Science and Technology;PL KRAKOW02;"pajak@agh.edu.pl; zabinska@agh.edu.pl";061 ICTs, 071 Engineering and engineering trades;yes;yes;yes;2;12;1 June;01 November
48;FESB;POLAND;Politechnika Wroclawska - University of Wroclaw;PL WROCLAW02;erasmus@pwr.wroc.pl;52 Engineering and Engineering trades;yes;yes;yes;2;20(2x10);15 June;15 November
49;FESB;POLAND;Warsaw University of Life Sciences - SGGW;PL WARSZAW05;joanna_zach@sggw.edu.pl;"061 (481) Information and Communication Technologies; 0715 (521) Mechanics and metal trade";yes;yes;yes;2;10(2x5);15 June;15 December
50;FESB;POLAND;Lublin University of Technology;PL LUBLIN03;a.matyjaszczyk@pollub.pl;071 Engineering and engineering trades;yes;yes;no;2;10 (2x5);15 June;15 November
51;FESB;POLAND;Kazimierz Pulaski University of Technology and Humanities in Radom;PL RADOM01;"a.yesbrowska@uthrad.pl; dwz@uthrad.pl";071 Engineering and engineering trades;yes;yes;yes;2;10;30 May;15 November
52;FESB;POLAND;Rzeszow University of Technology;PL RZESZOW01;"jruszel@prz.edu.pl; epta@prz.edu.pl; monikas@prz.edu.pl";071 Engineering and engineering trades;yes;yes;yes;2;10;1 June;31 October
53;FESB;PORTUGAL;University of Coimbra;P COIMBRA 01;dri@uc.pt;"0715 Mechanics and Metal trades; 061 ICT";yes;yes;yes;2;10;1 June;01 November
54;FESB;PORTUGAL;Polytechnic Institute of Braganca;P BRAGANC01;sylwia@ipb.pt;"522 Electricity and energy; 48 Computing ";yes;no;no;2;10(2x5);15 July;15 December
55;FESB;PORTUGAL;Polytechnic Institute of Braganca;P BRAGANC01;sylwia@ipb.pt;0715 Mechanical Engineering;yes;yes;no;2;10(10x5);15 July;15 December
56;FESB;PORTUGAL;Universiyesde de Aveiro;P AVEIRO01;gri@ua.pt;0715 Mechanics and Metal trades;yes;yes;no;4;40 (4x10);01 November;15 November
57;FESB;PORTUGAL;Universiyesde de Evora;P EVORA01;mobility@uevora.pt;"0713 Electricity and energy; 0714 Electronics and automation";yes;yes;yes;2;10 (2x5);1 June;01 November
